,Date,User,Tweet
35,2022-07-25 18:17:18+00:00,GirlsinTech,"It will now take 132 years to close the gender gap worldwide—significantly higher than the pre-pandemic estimate of 100 years. Four outstanding leaders share their outlook on recovering momentum.  💫

https://t.co/Lh6tgKEolG"
36,2022-07-24 10:01:10+00:00,GirlsinTech,"We love this advice from @bumble Founder Whitney Wolfe! 

What do you think?🤔

#GirlsinTech #WomenEmpoweringWomen https://t.co/ixiM2uViqc"
37,2022-07-23 12:26:19+00:00,GirlsinTech,How do we re-shape our public sector services to be more equitable &amp; efficient? @awscloud and @GirlsinTech hosted an inspirational evening with experts and supporters from the metro DC area. Here’s more about our collaboration with AWS: https://t.co/luMQW50w8b #girlsintech
38,2022-07-15 14:04:54+00:00,GirlsinTech,"Launching your tech career? Wanting to flesh out your CV? Aiming for a promotion? 

Read our latest blog post for details on what employers are looking for specifically, and how honing these skills can impact your earning potential.

https://t.co/KPKfgxn3lo

#CareerGoals https://t.co/CFyWmKGuwE"
39,2022-07-11 16:03:36+00:00,GirlsinTech,"The Girls in Tech Digital Career Fair is on! 💼

This is a live online event that offers exclusive access to hiring managers from top tech companies across the globe who are looking for promising female tech talent to add to their teams.

Sign up today!
https://t.co/nAWaOd7fDv https://t.co/tZ42gxRys9"
40,2022-07-11 16:03:24+00:00,GirlsinTech,"Women in Bahrain comprise 42% of all students enrolled in STEM degrees in the last academic year. Around one in five startup founders in Bahrain are women, and so are almost a third of the broader ICT workforce. 👏 What can the world learn from Bahrain? https://t.co/rKvNiLFKj6"
41,2022-07-10 10:00:55+00:00,GirlsinTech,Tag/mention an inspiring female-led company or female founder below ⬇️ https://t.co/42LjF6Of2R
42,2022-07-03 00:00:30+00:00,GirlsinTech,"Have you ever wished for an exclusive audience with influential tech leaders? 

The Girls in Tech Conference boasts an impressive lineup of female tech trailblazers. Hear their stories, and learn from their experiences.

Get your tickets! 👇
https://t.co/9qJT2U95VL https://t.co/u7vQ3Nj7nL"
43,2022-07-01 15:02:22+00:00,GirlsinTech,"Get front-row seats to listen to Jenny Teator and Autumn Nicholas at the Girls in Tech Conference. Their musical talents will break up the day and put a pep in your step! 

It’ll be a vibe – trust us.

Get your tickets here! 👇
https://t.co/9qJT2U95VL https://t.co/neRWQmyHnm"
44,2022-07-01 02:00:54+00:00,GirlsinTech,"Get curious, develop your strategy, learn important lessons, all in a day of powerful talks from tech leaders.

The Girls in Tech Conference will have you inspired and ready to make your mark in tech!

Get your tickets today! 
https://t.co/9qJT2U95VL

#GITCon22 #OneMillionStories https://t.co/SrvqDn6sDY"
45,2022-07-01 00:18:02+00:00,GirlsinTech,@AWS_Edu @udacity @NSBE 🙌
46,2022-07-01 00:16:55+00:00,GirlsinTech,@JBKRATZ @awscloud Could not agree more! Mentorships are integral to the foundations of successful careers within the tech-force and to support systems for women within the professional environment. 🔥
47,2022-06-29 16:04:01+00:00,GirlsinTech,"The Girls in Tech Conference was designed with YOU in mind. Meet your community. Learn to thrive in tech.

You belong here.

Get your tickets today! 👇
https://t.co/9qJT2U95VL

#GITCon22 #OneMillionStories https://t.co/aXW8Xe6pPc"
48,2022-06-27 16:03:05+00:00,GirlsinTech,"Software Developers: Looking for a new role? Find it at the Girls in Tech Digital Career Fair.

Sign up today, flesh out your professional profile, and connect with top tech companies on Wednesday August 17th.

Your future self thanks you for it 🙏

https://t.co/9EFDkBxFAt https://t.co/2DsLhnjWKf"
49,2022-06-26 00:00:41+00:00,GirlsinTech,"The @AWS Machine Learning Scholarship program is for developers interested in expanding their machine learning skills to launch their careers in tech. 

Register before August 4! 👇

https://t.co/SsKvofeq3x https://t.co/QgX9ErBkHZ"
50,2022-06-21 16:26:20+00:00,GirlsinTech,"Hey girls in tech! Have you ever felt that you are not good enough? You are not alone. So how do you beat the imposter syndrome?  

✨ ""Use your voice,"" says @Hey_Tech_Lady.  Get her best advice ➡️ https://t.co/e8m8fFNeAx"
51,2022-06-21 12:02:40+00:00,GirlsinTech,"Check out the winning submissions from our most recent virtual hackathon, sponsored by @HPE 

Participants hacked solutions for the deaf and hard of hearing community – and the end results will inspire you to change the world with your tech skills, too. 

https://t.co/qEtlXYJK9m https://t.co/j3MIhZ9iUz"
